Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
21-Oct-24,12119.8,12160.35,11935.35,11953.65,,
22-Oct-24,11952.2,11987.2,11646.4,11672.05,,
23-Oct-24,11632.75,11757.75,11503.15,11640.1,,
24-Oct-24,11638.1,11693.3,11579.65,11648.6,,
25-Oct-24,11670.8,11683,11306.7,11352.2,,
28-Oct-24,11367.5,11483,11244.15,11371.8,,
29-Oct-24,11330,11428.45,11206,11409.55,,
30-Oct-24,11382.25,11480.9,11300.45,11366.9,,
31-Oct-24,11361.5,11409.5,11288.2,11347.1,,
01-Nov-24,11399.9,11460.25,11394.85,11442.25,,
04-Nov-24,11456.8,11463.15,11033.45,11158.2,,
05-Nov-24,11100.1,11258.35,11057.9,11245.15,,
06-Nov-24,11325.55,11551.65,11283.55,11530.95,,
07-Nov-24,11549.65,11583.3,11439.9,11452.35,,
08-Nov-24,11425.85,11437.4,11177.5,11228.1,,
11-Nov-24,11174.75,11234.2,11088.2,11135.1,,
12-Nov-24,11177.95,11257.95,11003.45,11033.85,,
13-Nov-24,11001.45,11034.45,10807.5,10825,,
14-Nov-24,10827.5,10876.15,10749.2,10810.3,,
18-Nov-24,10780.05,10805.2,10572.8,10637.15,,
19-Nov-24,10691.45,10846.6,10572,10602.95,,
21-Nov-24,10547.75,10569.5,10340.6,10446.45,,
22-Nov-24,10490.15,10703.15,10460.85,10677.05,,
25-Nov-24,10883.7,11077.55,10865,10979,,
26-Nov-24,11021.15,11045.85,10901.7,10923.95,,
27-Nov-24,10959.6,11000.35,10845.7,10984.85,,
28-Nov-24,10998.2,11144.9,10935,10966.95,,
29-Nov-24,11007.7,11139.55,10985.8,11103.75,,
02-Dec-24,11082.4,11154.1,10982.2,11138.2,,
03-Dec-24,11219.45,11289.4,11177.1,11267.9,,
04-Dec-24,11297.95,11337.2,11201.95,11235.4,,
05-Dec-24,11290.5,11362.7,11181.45,11319.05,,
06-Dec-24,11341.7,11404,11304.95,11322.6,,
09-Dec-24,11298.95,11336.8,11240.25,11251.7,,
10-Dec-24,11227.8,11269.9,11162.1,11222.35,,
11-Dec-24,11225.15,11283.25,11211.9,11224.9,,
12-Dec-24,11206.95,11235.65,11108.5,11122.25,,
13-Dec-24,11125.25,11186,10944.35,11160.3,,
16-Dec-24,11165.55,11190.35,11061.65,11095.3,,
17-Dec-24,11076.9,11088,10898.45,10916.2,,
18-Dec-24,10883.55,10927.25,10788.95,10824.45,,
19-Dec-24,10651.85,10854.8,10637.85,10785.15,,
20-Dec-24,10769.5,10892.85,10583.1,10607.6,,
23-Dec-24,10673.55,10784.2,10617.7,10689.65,,
