Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
18-Oct-24,25572.05,26043.3,25447.4,25984.1,95432612,7769.2
21-Oct-24,26024.1,26060.15,25629.25,25703.5,176533837,10872.82
22-Oct-24,25786.75,25858.4,25415.8,25453.3,221075824,10778.2
23-Oct-24,25385.45,25633.8,25355.2,25383.15,154928097,8245.1
24-Oct-24,25408.35,25569.4,25306.95,25476.1,103076678,6310.72
25-Oct-24,25395.35,25497.05,24969.55,25166.8,205917367,13233.79
28-Oct-24,25271.75,25442.35,25185.15,25235.35,339040672,10588.24
29-Oct-24,25285.45,25672.2,25200.05,25622.15,223755219,11026.55
30-Oct-24,25411.5,25570,25348.7,25393.05,160034164,8969.39
31-Oct-24,25314.35,25515.2,25162.95,25220.45,228746853,8847.04
01-Nov-24,25273.95,25411.6,25237,25347.8,28209498,698.71
04-Nov-24,25385.1,25385.1,24966.8,25012.5,153867561,7743.45
05-Nov-24,24929.05,25540.1,24829.55,25498.1,117127578,9257.6
06-Nov-24,25592.25,25607.8,25457.15,25506.9,108013880,7403.06
07-Nov-24,25482.75,25528.9,25207.15,25274.6,87482051,5357.05
08-Nov-24,25238.75,25341.25,25125.55,25186.75,83109927,5132.34
11-Nov-24,25163.85,25473.2,25005.85,25318.25,103949493,5876.24
12-Nov-24,25381.8,25491.6,24949.2,25036,86981116,6905.21
13-Nov-24,24965.85,25126.15,24439.1,24530.4,134115961,7663.78
14-Nov-24,24519.35,24752.9,24477.45,24610.6,96479868,5761.45
18-Nov-24,24625.05,24682,24524.1,24644.4,107085372,5908.47
19-Nov-24,24744.05,24950.8,24669,24804.35,130461277,10080.85
21-Nov-24,24802.4,24928.55,24545.25,24824.7,104250179,7210.62
22-Nov-24,24855.3,25159.9,24844.15,25083,92749015,7161.88
25-Nov-24,25496.8,25547.7,25308.2,25487,329129920,45291.82
26-Nov-24,25639.25,25639.25,25364.1,25461.15,71333995,5518.51
27-Nov-24,25444.55,25595.5,25396.1,25517.95,98674420,8101.19
28-Nov-24,25541.95,25689.1,25189.55,25234.85,109547697,9241.78
29-Nov-24,25254.45,25368.15,25191.4,25327.95,84104168,6263.95
02-Dec-24,25317.9,25378.95,25156.6,25339.95,93316949,5261.9
03-Dec-24,25464.15,25606.55,25386.95,25559.05,101772243,8281.55
04-Dec-24,25580.7,25812.65,25548.5,25779.9,135612546,9887.13
05-Dec-24,25838.95,26110.9,25597.05,25958.45,105132492,9659.9
06-Dec-24,25965.75,26091.9,25757.6,25956.35,93221108,5695.93
09-Dec-24,25904.35,26098.9,25861.45,25884,80840666,5789.94
10-Dec-24,25860.05,25977.85,25792.9,25919.85,74017858,4202.12
11-Dec-24,25864.7,25977.85,25806.65,25856.1,64768377,4633.31
12-Dec-24,25770.55,25937.4,25727.25,25745.45,63764840,4972.71
13-Dec-24,25673.6,25990.7,25297,25952.6,81667834,6331.56
16-Dec-24,25922.25,26029.2,25833.15,25971.55,60833114,4186.77
17-Dec-24,25878.6,25931.35,25559.3,25611.95,93735796,5806.76
18-Dec-24,25560.5,25619.9,25243.6,25326.85,111021390,5913.4
19-Dec-24,24999.7,25140.25,24927.25,25056.3,94816685,6705.44
20-Dec-24,24957.4,25047.25,24535.05,24617.6,205256299,15431.29
23-Dec-24,24738,24907.85,24723.3,24833.35,73269610,3687.01
24-Dec-24,24812.05,24877.8,24749.05,24838.85,86486236,4424.43
26-Dec-24,24936.55,25086.55,24712.85,24798.4,86722096,3971.86
27-Dec-24,24847.35,25059.45,24843.4,24919.05,70818601,3372.34
30-Dec-24,24897.65,25279.6,24647.25,24761.6,159638436,8133.1
31-Dec-24,24612,24828.05,24599.8,24780,62343428,4387.73
01-Jan-25,24761.2,25010.95,24603.55,24893.55,58743907,2660.49
02-Jan-25,24929.5,25272.4,24915.8,25244.25,84833443,5343.54
03-Jan-25,25247.75,25253.45,24976.6,25018.1,91641681,6387.88
06-Jan-25,24994.35,25012.95,24397.5,24489.8,103947581,5110.12
07-Jan-25,24548.55,24708.1,24488.6,24581.95,64493296,4240.78
08-Jan-25,24582.4,24642,24251.95,24462.85,82295282,5305.9
09-Jan-25,24443.75,24520.85,24241.55,24354.45,83725727,7174.25
10-Jan-25,24294,24327.55,23879.1,23931.15,80500251,4768
13-Jan-25,23663.95,23950.4,23648.8,23722.6,92977096,5669.5
14-Jan-25,23839.35,24128.85,23817.95,23992.1,93309034,6193.27
15-Jan-25,24011.9,24150.6,23854.3,23987.95,83487987,4476.64
16-Jan-25,24131,24290.25,24095.2,24206.4,70590626,5849.37
17-Jan-25,23954,24018.25,23558.25,23680.05,95626044,7771.56
20-Jan-25,24015.4,24358.4,23911,24242.65,131040856,9458.68
21-Jan-25,24314.4,24314.4,23803.1,23869.3,97437528,7864.36
22-Jan-25,23942.1,23993.95,23700.65,23965.95,93424392,7022.07
23-Jan-25,23947.35,24051.15,23857.45,23870.45,85272167,7578.53
24-Jan-25,23835.8,24027.5,23680.4,23750.45,99295260,6206.07
27-Jan-25,23538.55,23712.55,23508.05,23634.35,181907575,6926.04
28-Jan-25,23878.4,24212.5,23769.7,24022.85,208849721,10061.76
29-Jan-25,24072.75,24238.25,24014.3,24222.55,113641252,4570.27
30-Jan-25,24233.45,24338.05,24152,24261.75,130071899,6828.14
31-Jan-25,24244.55,24423.7,24165.65,24386,93834417,5081.06
01-Feb-25,24373.9,24626.85,24122.65,24425.5,65989406,2713.11
03-Feb-25,24191,24356.15,24145,24265.45,73007486,4667.16
04-Feb-25,24404.45,24795.4,24362.1,24768.5,106624584,8525.21
05-Feb-25,24882.95,24944.8,24784.65,24831.35,81737177,5463.65
06-Feb-25,24881.6,24938.05,24736.85,24907.55,87574449,5523.25
07-Feb-25,24932.5,25025.75,24763.45,24924.4,93665163,5725.21
10-Feb-25,24881.1,24936.4,24717.1,24870.9,59411028,4175.31
