Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
29-Apr-25,17157.85,17213.45,17048.5,17122.7,193899986,17767.31
30-Apr-25,17123.45,17130.4,16983.1,17070.1,197552412,22808.92
02-May-25,16992.85,17252.45,16952.65,17063.2,234116510,19317.25
05-May-25,17151.5,17317.6,17137.4,17295.15,128840769,13475.06
06-May-25,17394.25,17410.6,17090,17132.6,138098003,15420.94
07-May-25,16949.7,17261.15,16948.15,17248.45,163166919,15839.42
08-May-25,17259.9,17286.65,16811.85,16930.05,209513525,19531.72
09-May-25,16588.5,16837.6,16588.5,16781.45,174639755,16470
12-May-25,17185.35,17495.35,17145.85,17480.7,191721683,17326.24
13-May-25,17439.45,17541.8,17319.55,17341.4,201767445,19339.36
14-May-25,17376.05,17569.95,17347.75,17511.85,164750510,17935.72
15-May-25,17531.75,17820.1,17447,17800.85,196809737,22390.03
16-May-25,17801.05,17854.65,17744.65,17834.05,271028173,34032.28
19-May-25,17888.05,17969.2,17843,17872.45,145739634,15832.93
20-May-25,17940.95,17946.75,17541.9,17564.3,218381196,19950.48
21-May-25,17599.1,17789.75,17540.1,17748.9,218576769,17150.8
22-May-25,17712.3,17717.35,17541.9,17645,156530318,16060.75
23-May-25,17690.45,17813.95,17624.9,17766.6,138084515,11099.09
26-May-25,17827.55,17922,17806.45,17863.8,180734631,12749.28
27-May-25,17831.3,17877.85,17690.3,17756.7,368187519,34113.09
28-May-25,17792.9,17801,17681.7,17693.35,138153047,11679.41
29-May-25,17739.9,17778.2,17666.2,17751.15,191168808,17077
30-May-25,17725.1,17778.6,17624.55,17677.7,664417633,34309.73
02-Jun-25,17629.3,17693.35,17537.85,17674,153636439,13030.22
03-Jun-25,17760.05,17801.3,17597.9,17611.2,200630431,16825.55
04-Jun-25,17621.1,17729.4,17604.35,17711.7,166405212,13395.04
05-Jun-25,17790.65,17926.55,17729.6,17865.4,239417040,18726.56
06-Jun-25,17862.5,18112.25,17794.65,18098.55,200853663,20800.25
09-Jun-25,18208.6,18251.3,18157.15,18232.45,140138967,15961.88
10-Jun-25,18302.35,18302.35,18187.45,18204.15,152921422,16297.82
11-Jun-25,18223.5,18256.75,18141.45,18180.3,153058563,15857.21
12-Jun-25,18205.05,18231.4,17887,17929.95,125241391,15040.5
13-Jun-25,17556.95,17823.9,17556.95,17796.7,138306085,15093.21
16-Jun-25,17835.65,18024.45,17764.5,18008.8,137749491,12706.99
17-Jun-25,18050.85,18054.05,17828.45,17860.1,123845454,12528.62
18-Jun-25,17850.65,17979.65,17824.05,17874.95,113699190,11991.89
19-Jun-25,17879.2,17922.2,17752.35,17801.95,138920671,14161.42
20-Jun-25,17804.35,18164.8,17797.4,18127.2,347982438,36450.41
23-Jun-25,18006.35,18224.55,17974.1,18174.05,143319611,13804.05
24-Jun-25,18343.6,18431.65,18227.2,18249.75,173697810,18558.64
25-Jun-25,18343.1,18363.25,18293.95,18355.45,141426412,14218.5
26-Jun-25,18403.05,18603.9,18367.55,18592.15,219203652,23634.4
27-Jun-25,18595.8,18676.2,18570.6,18639.15,300895031,31134.66
30-Jun-25,18662.35,18707.25,18592.95,18698.55,109759580,15254.81
01-Jul-25,18741.95,18757.45,18648.9,18683.8,112245611,14013.91
02-Jul-25,18681.95,18731.5,18540.4,18623.95,111811890,14571.55
03-Jul-25,18658.4,18689.1,18512.35,18526.1,104240438,13661
04-Jul-25,18520.3,18569.45,18431.3,18492.6,83527957,12194.47
07-Jul-25,18495.85,18504.75,18371.1,18415.75,92665326,9638.1
08-Jul-25,18432.1,18488.1,18398.2,18466.85,91730148,11978.96
09-Jul-25,18468.1,18506.1,18423.65,18473.35,89595440,11007.81
10-Jul-25,18496,18505.2,18303.9,18322.05,93512023,11772.67
11-Jul-25,18244.75,18292.5,18133.7,18151.85,96103222,13073.89
14-Jul-25,18116.85,18210.45,18041.1,18186.65,127161162,13328.47
15-Jul-25,18190.25,18263.75,18160.75,18242.45,117916859,13652.93
16-Jul-25,18242.15,18266.25,18168.75,18247.2,100769416,12678.04
17-Jul-25,18259.6,18277.7,18133.75,18142.45,101746158,14035.79
18-Jul-25,18166.15,18180.45,17990.45,18035.1,109555562,12519.81
21-Jul-25,18065.75,18260,18002.3,18224.05,146418061,13266.35
22-Jul-25,18387.05,18454.6,18294.6,18367.55,342273407,18587.9
23-Jul-25,18402.55,18459.45,18343.85,18450.9,143547420,13282.49
24-Jul-25,18457.8,18485.7,18365.1,18381.85,184745560,13977.7
25-Jul-25,18308.1,18330.6,18167.65,18214.6,149029658,14612.53
28-Jul-25,18182.95,18274.95,18040.25,18060.3,125302406,14278.86
29-Jul-25,18022.7,18165.45,17966.2,18143.4,122231396,13923.01
30-Jul-25,18176.3,18185.25,18078.35,18118.1,87623478,10588.19
31-Jul-25,17929.4,18223.15,17928.15,18130.45,121955788,15709.01
01-Aug-25,18146,18150,17905.25,17930.6,81846128,11998.67
04-Aug-25,17951.9,18125.7,17904.05,18114.15,86786100,10665.78
05-Aug-25,18135.35,18137.45,18014.85,18090.05,97750258,13212.11
06-Aug-25,18099.15,18133.6,17941.55,17974.05,96937229,12219.75
07-Aug-25,17884.5,18065.95,17826.8,18023.65,468370480,24690.74
08-Aug-25,17978.45,18002.25,17796.45,17815.6,174677778,26452.61
11-Aug-25,17817.15,18020.05,17785.7,18000.2,105853390,11099.55
12-Aug-25,17996.55,18050.25,17915.7,17928.7,83198121,10282.57
13-Aug-25,17981.9,18183.55,17980.05,18159.4,104072105,13241.76
14-Aug-25,18188.85,18253.95,18163.25,18228.4,117267561,12553.77
18-Aug-25,18434.75,18588.45,18405.8,18424.35,143702244,18573.79
19-Aug-25,18444.6,18463.75,18333.7,18429.2,103798712,11744.89
20-Aug-25,18449.7,18547.2,18417.6,18511.6,145258514,14211.59
21-Aug-25,18543.1,18562.95,18475.25,18503.05,90833712,10939.03
22-Aug-25,18515.7,18546.65,18413.55,18422,89795681,11029.11
25-Aug-25,18515.85,18522.85,18406.9,18449.6,84035183,10463.31
26-Aug-25,18410.9,18425.75,18189.3,18224.1,547546824,28422.19
28-Aug-25,18249.05,18249.45,17981.05,18004.8,176685657,25930.24
29-Aug-25,17985.95,18065.1,17921.15,17947,150940707,14055.06
01-Sep-25,17947.9,18156,17947.9,18142.3,115577004,11350
02-Sep-25,18180.05,18224.6,18097.55,18138.5,119290343,10910.68
03-Sep-25,18183.7,18283,18125.55,18271.1,126132890,12320.83
04-Sep-25,18502.2,18505.25,18269.65,18296.85,156464769,17650.38
05-Sep-25,18369.55,18413.9,18262.6,18307.55,95339893,10379.54
08-Sep-25,18358.45,18432.1,18307.6,18348.2,82392681,10973.58
09-Sep-25,18372.55,18394.65,18321.95,18370.85,90411025,10968.7
10-Sep-25,18453.45,18471.6,18393.2,18436.6,113584911,13118.18
11-Sep-25,18426.15,18497.9,18399.7,18464.55,105739993,10889.41
12-Sep-25,18504.8,18560.95,18473.05,18504.85,118428878,12244.87
15-Sep-25,18536.95,18556.45,18471.55,18507.8,91813429,9917.4
16-Sep-25,18521.6,18656.55,18517.65,18640,103945849,12178.79
17-Sep-25,18679.6,18737.8,18662.85,18695.2,115045852,12259.16
18-Sep-25,18744.85,18798.95,18699,18788.15,123832169,12660.47
19-Sep-25,18775,18792.95,18709.85,18733.15,153849163,18145.82
22-Sep-25,18704.05,18783.5,18653.8,18712.25,101543229,11316.02
23-Sep-25,18729.95,18757.85,18569.1,18600.25,112614457,14569.06
24-Sep-25,18558.05,18583.4,18467.55,18482.7,86717103,10628
25-Sep-25,18463.9,18520.2,18297.6,18310.35,150191762,16865.65
26-Sep-25,18263.45,18305.2,17948.45,17967.5,120020219,13699.83
29-Sep-25,18061.1,18106.05,17954.45,18046.75,172086968,25072.17
