Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
29-Apr-25,6775.15,6821.3,6754.3,6773.3,167672580,13632.91
30-Apr-25,6772.1,6772.1,6687.55,6742.85,217680264,20104.56
02-May-25,6717.6,6829.6,6715.25,6772.55,234865693,14957.58
05-May-25,6761.05,6806.1,6741.35,6798.9,147004340,12396.58
06-May-25,6813.85,6818.85,6738.3,6752.25,159759816,11829.29
07-May-25,6704.3,6802.9,6702.55,6797.6,177449581,12229.25
08-May-25,6810.55,6831.3,6696.55,6739.75,212763182,14861.41
09-May-25,6611.6,6708.65,6611.6,6673.05,151841993,11557.74
12-May-25,6804.7,6906,6792.35,6898.25,174329456,11639.07
13-May-25,6881.5,6916.25,6787.8,6794.35,198947611,12806.23
14-May-25,6805.5,6874.05,6789.2,6835.95,177125532,10484.14
15-May-25,6845.2,6965.35,6787.3,6958.3,231320303,15922.52
16-May-25,6931.45,6942.55,6902.6,6923.05,258411197,28953.97
19-May-25,6930,6943.75,6906.7,6914.3,110102108,7701.38
20-May-25,6926,6933.6,6815.6,6822.55,213758899,12807.12
21-May-25,6831.5,6876.45,6799.05,6841.8,153133245,8724.85
22-May-25,6826.4,6826.4,6750.6,6797.1,216168706,13234.89
23-May-25,6800.9,6893.95,6800.55,6873.2,125829763,7249.13
26-May-25,6877.1,6911.75,6869.65,6882.2,175687398,8154.37
27-May-25,6874.1,6908.75,6813.85,6849,333184406,14412.88
28-May-25,6861.6,6867.85,6832.2,6841.5,108816709,6545.4
29-May-25,6853,6887.75,6831.3,6874.85,161806195,10835.81
30-May-25,6861.4,6891.55,6841.4,6878.75,621852447,26133.99
02-Jun-25,6851.4,6885.45,6817.05,6865.7,161912598,9544.2
03-Jun-25,6893.6,6908.9,6793.6,6802.65,196673905,11418.28
04-Jun-25,6825.1,6859.2,6814.75,6850.05,149204812,8712.45
05-Jun-25,6878.2,6934.95,6853.05,6894.6,231852496,13035.46
06-Jun-25,6899.55,7000.3,6878.45,6986.7,189139918,13293.4
09-Jun-25,7042.05,7070.35,7017.35,7052.5,131345685,11870.39
10-Jun-25,7072.75,7078.45,7023.85,7032.05,140143373,10908.42
11-Jun-25,7040.3,7066.7,7012.7,7022.65,129486313,9408.41
12-Jun-25,7036.25,7037.85,6914.1,6933.2,133892581,10128.01
13-Jun-25,6795.9,6891.2,6795.9,6881.8,127466308,9167.51
16-Jun-25,6897.95,6940.2,6859.35,6931.15,131827985,9186.25
17-Jun-25,6950.8,6951.1,6874.8,6884.05,105133957,7925.99
18-Jun-25,6877.5,6925.6,6867.7,6896.05,113280627,8885.24
19-Jun-25,6903.85,6911.8,6861.75,6882.2,127535383,8675.58
20-Jun-25,6881.9,7010.45,6876.85,6997.3,247867055,23967.78
23-Jun-25,6950.2,7026.5,6924.4,7003.85,91843626,6974.74
24-Jun-25,7066.15,7105.65,7007.3,7018.15,160913899,12255.45
25-Jun-25,7048.8,7085.85,7039.8,7074.5,109238131,7775.02
26-Jun-25,7087.95,7179.7,7086.05,7175.5,205846648,14477.18
27-Jun-25,7192.4,7218.6,7173.2,7207.95,227229386,16734.8
30-Jun-25,7217.05,7223.7,7172.4,7185.6,112505864,9826.34
01-Jul-25,7189.45,7211.05,7181.05,7202.8,106082758,8104.33
02-Jul-25,7207.75,7215.65,7161.05,7190.55,151536609,9450.2
03-Jul-25,7195.1,7210.05,7148.15,7156.55,151732837,9855.27
04-Jul-25,7147.45,7162.3,7097,7128.1,99158571,9840.9
07-Jul-25,7129.35,7146.35,7111.3,7139.4,85951484,6278.72
08-Jul-25,7145.1,7184.6,7142,7171.9,84384480,7626.01
09-Jul-25,7169,7197.55,7140.75,7163.55,94719727,6215.3
10-Jul-25,7178.15,7184.8,7120.85,7130.35,102593640,8507.9
11-Jul-25,7101.5,7124.25,7058.95,7071.2,101055104,8336.45
14-Jul-25,7071.5,7078.15,7039.15,7056.9,123303737,8121.25
15-Jul-25,7070,7106.1,7065.1,7082.1,107768123,7016.51
16-Jul-25,7066.7,7084.9,7041.5,7071.85,103164384,7847.28
17-Jul-25,7088.45,7092.4,7050.75,7054.55,114214035,8683.27
18-Jul-25,7057.95,7060.75,7001.5,7022.25,114750717,7800.36
21-Jul-25,7008.4,7052.55,6979.15,7039.95,169393230,10346.32
22-Jul-25,7092.8,7095.35,7027.6,7053.8,357446077,16117.66
23-Jul-25,7078.35,7132.65,7074.25,7126.95,157145216,9953.52
24-Jul-25,7125.15,7131.5,7074.95,7088.1,207744874,11635.42
25-Jul-25,7038.9,7045.7,6977.05,6988,153672621,10535.09
28-Jul-25,6945.85,6967.95,6850.5,6857.25,130098056,10791.37
29-Jul-25,6834.25,6928.4,6834.2,6921.95,120802434,9500.09
30-Jul-25,6928.95,6929.1,6880.25,6900,112299942,7818.04
31-Jul-25,6824.4,6915.05,6823.65,6865.7,156441692,11363.75
01-Aug-25,6866.95,6879.55,6802.2,6811.8,123935861,9371.82
04-Aug-25,6819.9,6884.15,6805.15,6877.45,121395380,6827.72
05-Aug-25,6897.75,6903.3,6869.3,6890.15,111884638,8354.8
06-Aug-25,6890.75,6914.3,6854.35,6870.65,99519012,7648.35
07-Aug-25,6827.4,6878.5,6784.15,6865.2,492599435,21459.28
08-Aug-25,6838.2,6856.1,6764.15,6772.25,197101324,24845.7
11-Aug-25,6786.15,6861.85,6773.45,6854.3,137767651,9402.87
12-Aug-25,6849.65,6879.3,6817.85,6822.7,111131571,7917.02
13-Aug-25,6843.05,6883.2,6841.5,6871.1,110508201,7667.95
14-Aug-25,6874.5,6882.95,6856.35,6870.9,145587262,7591.15
18-Aug-25,6969.75,7019.05,6964.75,6985.65,189765676,14291.62
19-Aug-25,6999.85,7066.95,6997.9,7062.5,133814588,10311.32
20-Aug-25,7068.35,7074.5,7048.5,7053.3,140536652,8864.74
21-Aug-25,7068.6,7076.5,7042.05,7046.25,98651214,7471.39
22-Aug-25,7041.8,7047.4,6992.05,6995.3,86759324,6044.67
25-Aug-25,7021,7031.05,6990.75,7014.45,88970673,6160.72
26-Aug-25,6996.2,7002.4,6904.75,6916.4,554798527,23856.54
28-Aug-25,6913.6,6921,6857.85,6866.05,156555194,10806.66
29-Aug-25,6854.55,6905.3,6849.3,6857.55,161266793,11049.64
01-Sep-25,6862,6931.85,6860.3,6926.05,112945263,7574.55
02-Sep-25,6936.85,6985.05,6903.3,6923.9,139002490,8420.8
03-Sep-25,6941.95,6994.25,6922,6988,209208826,9807.13
04-Sep-25,7041.9,7045.7,6970.8,6978.4,150078614,11168.23
05-Sep-25,7001.6,7036.75,6986.15,7018.8,98988630,6462.16
08-Sep-25,7038.85,7074.05,7032.05,7038.7,113635513,7825.74
09-Sep-25,7048.25,7053.1,7013.25,7037.2,89283453,7502.14
10-Sep-25,7074.05,7086.45,7037.7,7054.9,96364004,8341.75
11-Sep-25,7056.05,7101.65,7051.5,7093.5,95543526,8007.88
12-Sep-25,7107.75,7134.4,7103,7120.7,97141436,7647.71
15-Sep-25,7119.3,7147.85,7113.7,7123.75,74924372,5914.67
16-Sep-25,7132.1,7200.05,7127.65,7192.2,111492646,8394.77
17-Sep-25,7212.45,7254,7197.35,7250.95,122794358,9514.67
18-Sep-25,7266,7270.5,7225.35,7253.85,135078965,10040.47
19-Sep-25,7256.8,7275.45,7240.4,7258,162453741,14531.03
22-Sep-25,7258.65,7292.3,7232.95,7243.25,110580776,8949.8
23-Sep-25,7249.4,7295.95,7224.2,7279.9,135265386,13272.29
24-Sep-25,7269.25,7282.9,7245.6,7251.55,107228132,8995.57
25-Sep-25,7236.75,7252.7,7178.6,7184.4,137952895,11761.67
26-Sep-25,7173.15,7188.3,7104.7,7109.8,119847772,8798.52
29-Sep-25,7144.7,7153.15,7095.9,7115.7,173419060,13933.88
30-Sep-25,7118.7,7135.6,7097.4,7103.4,147439368,11604.3
01-Oct-25,7090.75,7161.25,7090.55,7153.55,151816860,12575.39
03-Oct-25,7130.5,7205.7,7130.15,7199.8,193841997,12761.53
06-Oct-25,7199.8,7264.95,7186.8,7257.1,122352753,9605.44
07-Oct-25,7253.8,7298.8,7248.8,7262.9,120534695,10184.68
08-Oct-25,7262.25,7278.05,7227,7234.25,106399087,7825.2
09-Oct-25,7254.95,7287.05,7229.35,7280.5,160002389,9027.47
